recordid,nriptr,stratum,cluster,xfact,fips,hydro,mhydro,mlra,bailey,split,impute,impute87,wifact,wcfact,urfact,ukfact,usleflag,s5id,s5name,surftxt,txtmod,loslope,hislope,flood,ophase,tfact
37001020017,214123,37001,2,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001020018,249587,37001,2,1,37001,03030002,0303,136,231A,,1,0,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001020019,249593,37001,2,1,37001,03030002,0303,136,231A,,1,0,86,0,230,0.24,0,NC0032,APPLING,SL,NON,6,10,NONE,ERODED,4
37001020020,250110,37001,2,17,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0058,HELENA,SL,NON,2,6,NONE,0,4
37001020021,287950,37001,2,16,37001,03030002,0303,136,231A,,0,2,86,0,230,0.28,0,VA0009,WORSHAM,SL,NON,0,2,NONE,0,4
37001020022,249720,37001,2,17,37001,03030002,0303,136,231A,,0,2,86,0,230,0.24,0,NC0039,VANCE,COSL,NON,2,6,NONE,ERODED,3
37001020023,250974,37001,2,1,37001,03030002,0303,136,231A,,1,2,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001020024,214123,37001,2,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001020025,215428,37001,2,1,37001,03030002,0303,136,231A,,1,2,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001020026,250110,37001,2,1,37001,03030002,0303,136,231A,,1,2,86,0,230,0.24,0,NC0058,HELENA,SL,NON,2,6,NONE,0,4
37001020027,250974,37001,2,1,37001,03030002,0303,136,231A,,1,2,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001020028,250974,37001,2,2,37001,03030002,0303,136,231A,,1,2,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001020029,249200,37001,2,1,37001,03030002,0303,136,231A,,1,2,86,0,230,0.28,0,NC0018,CECIL,SL,NON,2,6,NONE,ERODED,4
37001020030,214095,37001,2,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0035,URBAN LAND,VAR,NON,6,10,NONE,0,0
37001020031,214123,37001,2,1,37001,03030002,0303,136,231A,,1,2,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001020032,250974,37001,2,21,37001,03030002,0303,136,231A,,0,2,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001020033,250974,37001,2,2,37001,03030002,0303,136,231A,,0,2,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001020034,250974,37001,2,21,37001,03030002,0303,136,231A,,0,2,48,0,230,0.32,0,NC0170,GASTON,L,NON,2,6,NONE,0,4
37001020035,250764,37001,2,1,37001,03030002,0303,136,231A,,1,2,56,0,230,0.15,0,NC0126,BADIN,SIL,CN,2,6,NONE,ERODED,2
37001020036,249587,37001,2,2,37001,03030002,0303,136,231A,,1,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001020037,249587,37001,2,3,37001,03030002,0303,136,231A,,1,2,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001020038,250764,37001,2,13,37001,03030002,0303,136,231A,,0,2,56,0,230,0.15,0,NC0126,BADIN,SIL,CN,2,6,NONE,ERODED,2
37001020039,251215,37001,2,5,37001,03030002,0303,136,231A,,0,2,38,0,230,0.28,0,NC0249,BADIN,SICL,NON,6,10,NONE,ERODED,2
37001020040,250764,37001,2,19,37001,03030002,0303,136,231A,,0,2,56,0,230,0.15,0,NC0126,BADIN,SIL,CN,2,6,NONE,ERODED,2
37001020041,213859,37001,2,14,37001,03030002,0303,136,231A,,0,0,0,0,230,0.00,0,DC0023,GULLIED LAND,VAR,NON,6,25,NONE,0,0
37001020042,274172,37001,2,13,37001,03030002,0303,136,231A,,0,0,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,2,6,NONE,0,4
37001020043,249424,37001,2,14,37001,03030002,0303,136,231A,,0,0,86,0,230,0.24,0,NC0030,ENON,FSL,NON,2,6,NONE,ERODED,3
37001020044,249587,37001,2,2,37001,03030002,0303,136,231A,,1,0,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001020045,214123,37001,2,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001020046,249492,37001,2,2,37001,03030002,0303,136,231A,,1,0,56,0,230,0.24,0,NC0031,WILKES,SL,NON,10,15,NONE,0,1
37001020047,249587,37001,2,1,37001,03030002,0303,136,231A,,1,0,86,0,230,0.24,0,NC0032,APPLING,SL,NON,2,6,NONE,ERODED,4
37001020048,215428,37001,2,1,37001,03030002,0303,136,231A,,1,0,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001020049,213859,37001,2,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0023,GULLIED LAND,VAR,NON,6,25,NONE,0,0
37001020050,213859,37001,2,3,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0023,GULLIED LAND,VAR,NON,6,25,NONE,0,0
37001020051,249516,37001,2,18,37001,03030002,0303,136,231A,,0,2,56,0,230,0.24,0,NC0031,WILKES,SL,NON,6,10,NONE,0,1
37001020052,249556,37001,2,17,37001,03030002,0303,136,231A,,0,2,56,0,230,0.28,0,NC0032,APPLING,SCL,NON,6,10,NONE,ERODED,3
37001020053,274333,37001,2,16,37001,03030002,0303,136,231A,,0,2,86,0,230,0.28,0,SC0016,IREDELL,SL,NON,2,6,NONE,0,3
37001020054,250113,37001,2,1,37001,03030002,0303,136,231A,,1,2,86,0,230,0.24,0,NC0058,HELENA,SL,NON,6,10,NONE,0,4
37001020055,215428,37001,2,1,37001,03030002,0303,136,231A,,1,2,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001020056,250089,37001,2,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.28,0,NC0058,HELENA,CL,NON,6,10,NONE,SEV ER,3
37001020057,250089,37001,2,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.28,0,NC0058,HELENA,CL,NON,6,10,NONE,SEV ER,3
37001020058,274119,37001,2,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0012,ALAMANCE,SIL,NON,2,6,NONE,0,4
37001020059,214123,37001,2,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001020060,250113,37001,2,1,37001,03030002,0303,136,231A,,0,0,86,0,230,0.24,0,NC0058,HELENA,SL,NON,6,10,NONE,0,4
