ST,STATE,STCNTY,COUNTY,FIPS,SVI
37,NORTH CAROLINA,37021,Buncombe,37021001700,0.1013
37,NORTH CAROLINA,37021,Buncombe,37021001801,0.40399999999999997
37,NORTH CAROLINA,37021,Buncombe,37021001802,0.2897
37,NORTH CAROLINA,37021,Buncombe,37021001900,0.3841
37,NORTH CAROLINA,37021,Buncombe,37021002000,0.6011
37,NORTH CAROLINA,37021,Buncombe,37021002101,0.0116
37,NORTH CAROLINA,37021,Buncombe,37021002102,0.6613
37,NORTH CAROLINA,37021,Buncombe,37021002203,0.7006
37,NORTH CAROLINA,37021,Buncombe,37021002204,0.2693
37,NORTH CAROLINA,37021,Buncombe,37021002205,0.3012
37,NORTH CAROLINA,37021,Buncombe,37021002206,0.5137
37,NORTH CAROLINA,37021,Buncombe,37021002301,0.2767
37,NORTH CAROLINA,37021,Buncombe,37021002302,0.2406
37,NORTH CAROLINA,37021,Buncombe,37021002401,0.4114
37,NORTH CAROLINA,37021,Buncombe,37021002402,0.4447
37,NORTH CAROLINA,37021,Buncombe,37021002503,0.6835
37,NORTH CAROLINA,37021,Buncombe,37021002504,0.5076
37,NORTH CAROLINA,37021,Buncombe,37021002505,0.317
37,NORTH CAROLINA,37021,Buncombe,37021002506,0.826
37,NORTH CAROLINA,37021,Buncombe,37021002603,0.7219
37,NORTH CAROLINA,37021,Buncombe,37021002604,0.3933
37,NORTH CAROLINA,37021,Buncombe,37021002605,0.3267
37,NORTH CAROLINA,37021,Buncombe,37021002606,0.6932
37,NORTH CAROLINA,37021,Buncombe,37021002607,0.5497
37,NORTH CAROLINA,37021,Buncombe,37021002701,0.1791
37,NORTH CAROLINA,37021,Buncombe,37021002702,0.217
37,NORTH CAROLINA,37021,Buncombe,37021002703,0.1296
37,NORTH CAROLINA,37021,Buncombe,37021002803,0.8399
37,NORTH CAROLINA,37021,Buncombe,37021002804,0.3633
37,NORTH CAROLINA,37021,Buncombe,37021002900,0.3503
37,NORTH CAROLINA,37021,Buncombe,37021003001,0.3332
37,NORTH CAROLINA,37021,Buncombe,37021003002,0.4456
37,NORTH CAROLINA,37021,Buncombe,37021003102,0.5021
37,NORTH CAROLINA,37021,Buncombe,37021003103,0.1981
37,NORTH CAROLINA,37021,Buncombe,37021003104,0.6335
37,NORTH CAROLINA,37021,Buncombe,37021003201,0.1504
37,NORTH CAROLINA,37021,Buncombe,37021003202,0.1772
37,NORTH CAROLINA,37021,Buncombe,37021003203,0.2698
37,NORTH CAROLINA,37021,Buncombe,37021003204,0.1874
37,NORTH CAROLINA,37021,Buncombe,37021003205,0.14300000000000002
37,NORTH CAROLINA,37023,Burke,37023020100,0.8903
37,NORTH CAROLINA,37023,Burke,37023020201,0.4401
37,NORTH CAROLINA,37023,Burke,37023020202,0.4771
37,NORTH CAROLINA,37023,Burke,37023020301,0.7603
37,NORTH CAROLINA,37023,Burke,37023020302,0.5164
37,NORTH CAROLINA,37023,Burke,37023020500,0.6469
37,NORTH CAROLINA,37023,Burke,37023020600,0.8640000000000001
37,NORTH CAROLINA,37023,Burke,37023020801,0.6557
37,NORTH CAROLINA,37023,Burke,37023020802,0.6502
37,NORTH CAROLINA,37023,Burke,37023020900,0.6317
37,NORTH CAROLINA,37023,Burke,37023021000,0.7344
37,NORTH CAROLINA,37023,Burke,37023021100,0.6266
37,NORTH CAROLINA,37023,Burke,37023021201,0.5012
37,NORTH CAROLINA,37023,Burke,37023021202,0.7529
37,NORTH CAROLINA,37023,Burke,37023021203,0.6344
37,NORTH CAROLINA,37023,Burke,37023021301,0.7575
37,NORTH CAROLINA,37023,Burke,37023021302,0.5965
37,NORTH CAROLINA,37023,Burke,37023021400,0.9556
37,NORTH CAROLINA,37025,Cabarrus,37025040500,0.3822
37,NORTH CAROLINA,37025,Cabarrus,37025040600,0.3804
37,NORTH CAROLINA,37025,Cabarrus,37025040701,0.4026
37,NORTH CAROLINA,37025,Cabarrus,37025040702,0.8158
37,NORTH CAROLINA,37025,Cabarrus,37025040703,0.9769
37,NORTH CAROLINA,37025,Cabarrus,37025040800,0.7594
37,NORTH CAROLINA,37025,Cabarrus,37025040900,0.5770000000000001
37,NORTH CAROLINA,37025,Cabarrus,37025041000,0.8866
37,NORTH CAROLINA,37025,Cabarrus,37025041100,0.3489
37,NORTH CAROLINA,37025,Cabarrus,37025041200,0.379
37,NORTH CAROLINA,37025,Cabarrus,37025041301,0.3272
37,NORTH CAROLINA,37025,Cabarrus,37025041302,0.1967
37,NORTH CAROLINA,37025,Cabarrus,37025041303,0.1994
37,NORTH CAROLINA,37025,Cabarrus,37025041501,0.0486
37,NORTH CAROLINA,37025,Cabarrus,37025041502,0.1009
37,NORTH CAROLINA,37025,Cabarrus,37025041503,0.0319
37,NORTH CAROLINA,37025,Cabarrus,37025041601,0.3008
37,NORTH CAROLINA,37025,Cabarrus,37025041602,0.2286
37,NORTH CAROLINA,37025,Cabarrus,37025041701,0.2795
37,NORTH CAROLINA,37025,Cabarrus,37025041702,0.2841
37,NORTH CAROLINA,37025,Cabarrus,37025041901,0.9597
37,NORTH CAROLINA,37025,Cabarrus,37025041902,0.9796
37,NORTH CAROLINA,37025,Cabarrus,37025042000,0.745
37,NORTH CAROLINA,37025,Cabarrus,37025042101,0.9722
37,NORTH CAROLINA,37025,Cabarrus,37025042102,0.7168
37,NORTH CAROLINA,37025,Cabarrus,37025042200,0.3498
37,NORTH CAROLINA,37025,Cabarrus,37025042300,0.9024
37,NORTH CAROLINA,37025,Cabarrus,37025042401,0.435
37,NORTH CAROLINA,37025,Cabarrus,37025042402,0.8371
37,NORTH CAROLINA,37025,Cabarrus,37025042501,0.0981
37,NORTH CAROLINA,37025,Cabarrus,37025042502,0.6465
37,NORTH CAROLINA,37025,Cabarrus,37025042503,0.255
37,NORTH CAROLINA,37025,Cabarrus,37025042504,0.0093
37,NORTH CAROLINA,37025,Cabarrus,37025042601,0.1518
37,NORTH CAROLINA,37025,Cabarrus,37025042602,0.4669
37,NORTH CAROLINA,37025,Cabarrus,37025042603,0.1481
37,NORTH CAROLINA,37025,Cabarrus,37025042604,0.4174
37,NORTH CAROLINA,37027,Caldwell,37027030100,0.8963
37,NORTH CAROLINA,37027,Caldwell,37027030200,0.8524
37,NORTH CAROLINA,37027,Caldwell,37027030300,0.9232
37,NORTH CAROLINA,37027,Caldwell,37027030400,0.8533
37,NORTH CAROLINA,37027,Caldwell,37027030500,0.4965
37,NORTH CAROLINA,37027,Caldwell,37027030600,0.4452
37,NORTH CAROLINA,37027,Caldwell,37027030700,0.5849
37,NORTH CAROLINA,37027,Caldwell,37027030800,0.5534
37,NORTH CAROLINA,37027,Caldwell,37027030900,0.3184
37,NORTH CAROLINA,37027,Caldwell,37027031000,0.2397
37,NORTH CAROLINA,37027,Caldwell,37027031100,0.4572
37,NORTH CAROLINA,37027,Caldwell,37027031201,0.3128
37,NORTH CAROLINA,37027,Caldwell,37027031202,0.4415
37,NORTH CAROLINA,37027,Caldwell,37027031300,0.273
37,NORTH CAROLINA,37027,Caldwell,37027031401,0.32299999999999995
37,NORTH CAROLINA,37027,Caldwell,37027031402,0.4151
37,NORTH CAROLINA,37027,Caldwell,37027031403,0.8579
37,NORTH CAROLINA,37029,Camden,37029950101,0.4243
37,NORTH CAROLINA,37029,Camden,37029950102,0.4826
37,NORTH CAROLINA,37031,Carteret,37031970101,0.3869
37,NORTH CAROLINA,37031,Carteret,37031970102,0.23
37,NORTH CAROLINA,37031,Carteret,37031970103,0.4466
37,NORTH CAROLINA,37031,Carteret,37031970200,0.4558
37,NORTH CAROLINA,37031,Carteret,37031970301,0.3387
37,NORTH CAROLINA,37031,Carteret,37031970302,0.5798
37,NORTH CAROLINA,37031,Carteret,37031970303,0.4299
37,NORTH CAROLINA,37031,Carteret,37031970304,0.3318
37,NORTH CAROLINA,37031,Carteret,37031970401,0.7927
37,NORTH CAROLINA,37031,Carteret,37031970402,0.6733
37,NORTH CAROLINA,37031,Carteret,37031970403,0.1832
37,NORTH CAROLINA,37031,Carteret,37031970501,0.8441
37,NORTH CAROLINA,37031,Carteret,37031970502,0.0403
37,NORTH CAROLINA,37031,Carteret,37031970503,0.4248
37,NORTH CAROLINA,37031,Carteret,37031970504,0.2457
37,NORTH CAROLINA,37031,Carteret,37031970601,0.3799
37,NORTH CAROLINA,37031,Carteret,37031970602,0.0509
37,NORTH CAROLINA,37031,Carteret,37031970603,0.4831
37,NORTH CAROLINA,37031,Carteret,37031970604,0.0722
37,NORTH CAROLINA,37031,Carteret,37031970605,0.1745
37,NORTH CAROLINA,37031,Carteret,37031970701,0.5169
37,NORTH CAROLINA,37031,Carteret,37031970702,0.4063
37,NORTH CAROLINA,37031,Carteret,37031970703,0.6451
37,NORTH CAROLINA,37031,Carteret,37031970704,0.49700000000000005
37,NORTH CAROLINA,37031,Carteret,37031970801,0.2753
37,NORTH CAROLINA,37031,Carteret,37031970802,0.2443
37,NORTH CAROLINA,37031,Carteret,37031970803,0.1032
37,NORTH CAROLINA,37031,Carteret,37031970804,0.1865
37,NORTH CAROLINA,37031,Carteret,37031970805,0.3984
37,NORTH CAROLINA,37031,Carteret,37031970901,0.1314
37,NORTH CAROLINA,37031,Carteret,37031970902,0.1509
37,NORTH CAROLINA,37031,Carteret,37031970903,0.0375
37,NORTH CAROLINA,37031,Carteret,37031971001,0.1629
37,NORTH CAROLINA,37031,Carteret,37031971002,0.1111
37,NORTH CAROLINA,37031,Carteret,37031971101,0.1606
37,NORTH CAROLINA,37031,Carteret,37031971102,0.4405
37,NORTH CAROLINA,37031,Carteret,37031980100,-999.0
37,NORTH CAROLINA,37031,Carteret,37031990100,-999.0
37,NORTH CAROLINA,37033,Caswell,37033930100,0.5678
37,NORTH CAROLINA,37033,Caswell,37033930200,0.9671
37,NORTH CAROLINA,37033,Caswell,37033930300,0.7719
37,NORTH CAROLINA,37033,Caswell,37033930400,0.4683
37,NORTH CAROLINA,37033,Caswell,37033930500,0.4461
37,NORTH CAROLINA,37033,Caswell,37033930600,0.4526
37,NORTH CAROLINA,37035,Catawba,37035010101,0.3609
37,NORTH CAROLINA,37035,Catawba,37035010102,0.3586
37,NORTH CAROLINA,37035,Catawba,37035010201,0.5271
37,NORTH CAROLINA,37035,Catawba,37035010202,0.7608
37,NORTH CAROLINA,37035,Catawba,37035010301,0.5044
37,NORTH CAROLINA,37035,Catawba,37035010302,0.3577
37,NORTH CAROLINA,37035,Catawba,37035010303,0.6099
37,NORTH CAROLINA,37035,Catawba,37035010304,0.888
37,NORTH CAROLINA,37035,Catawba,37035010401,0.6247
37,NORTH CAROLINA,37035,Catawba,37035010402,0.8589
37,NORTH CAROLINA,37035,Catawba,37035010501,0.3281
37,NORTH CAROLINA,37035,Catawba,37035010502,0.335
37,NORTH CAROLINA,37035,Catawba,37035010600,0.6867
37,NORTH CAROLINA,37035,Catawba,37035010700,0.8464
37,NORTH CAROLINA,37035,Catawba,37035010900,0.9431
37,NORTH CAROLINA,37035,Catawba,37035011000,1.0
37,NORTH CAROLINA,37035,Catawba,37035011101,0.3674
37,NORTH CAROLINA,37035,Catawba,37035011102,0.596
37,NORTH CAROLINA,37035,Catawba,37035011200,0.6182
37,NORTH CAROLINA,37035,Catawba,37035011300,0.9149
37,NORTH CAROLINA,37035,Catawba,37035011401,0.6039
