ID,Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Facility Type
47192,ELEC,Leith Nissan,Cary,NC,27511,E,35.7390019,-78.8138134,CAR_DEALER
47193,ELEC,Leith Nissan,Cary,NC,27511,E,35.7390019,-78.8138134,CAR_DEALER
47332,ELEC,Orange County - Robert and Pearl Seymour Center,Chapel Hill,NC,27516,E,35.950629,-79.063354,MUNI_GOV
47333,ELEC,Orange County - Skills Development Center,Chapel Hill,NC,27516,E,35.909907,-79.06344,MUNI_GOV
47334,ELEC,Orange County - Durham Technical Community College Park & Ride Lot,Hillsborough,NC,27278,E,36.04236,-79.09323,PARKING_LOT
47335,ELEC,Orange County - West Campus Office Building,Hillsborough,NC,27278,E,36.073889,-79.100586,MUNI_GOV
47718,ELEC,Umstead Hotel and Spa,Cary,NC,27513,E,35.82973,-78.7646,HOTEL
47720,ELEC,Mayfair Town Center,Wilmington,NC,28405,T,34.242673,-77.83313,SHOPPING_CENTER
48042,ELEC,Fields Auto Group,Asheville,NC,28806,E,35.562735,-82.63133,CAR_DEALER
48044,ELEC,Cherokee Welcome Center,Cherokee,NC,28719,E,35.483554,-83.31624,TRAVEL_CENTER
48045,ELEC,Boyd Automotive,Hendersonville,NC,28792,E,35.294913,-82.432913,CAR_DEALER
48678,ELEC,Asheville Chevrolet,Asheville,NC,28806,E,35.563115,-82.630535,CAR_DEALER
48682,ELEC,Blue Ridge Community College - Spearman Building,Flat Rock,NC,28731,E,35.306506,-82.421425,COLLEGE_CAMPUS
49873,ELEC,Town of Cary - Town Hall,Cary,NC,27513,E,35.790388,-78.778715,MUNI_GOV
49874,ELEC,Nissan of Clinton,Clinton,NC,28328,E,34.999456,-78.309597,CAR_DEALER
49875,ELEC,Nissan of Clinton,Clinton,NC,28328,E,34.999456,-78.309597,CAR_DEALER
49881,ELEC,Wake Technical Community College,Raleigh,NC,27603,E,35.651689,-78.706233,COLLEGE_CAMPUS
49882,ELEC,Town of Southern Pines - Library,Southern Pines,NC,28387,E,35.176173,-79.390553,LIBRARY
49883,ELEC,City of Wilmington - Market Street Parking Deck,Wilmington,NC,28401,E,34.235678,-77.948353,PAY_GARAGE
50172,ELEC,Buncombe County - Health and Human Services,Asheville,NC,28801,E,35.593656,-82.555258,PAY_GARAGE
50392,ELEC,Buncombe County Interchange Building,Asheville,NC,28801,E,35.599429,-82.546527,MUNI_GOV
50393,ELEC,Orange County - West Campus Office Building,Hillsborough,NC,27278,E,36.073889,-79.100586,MUNI_GOV
50688,ELEC,SAS Institute Inc - T,Cary,NC,27513,E,35.823796,-78.752235,OFFICE_BLDG
50689,ELEC,SAS Institute Inc - C,Cary,NC,27513,E,35.817516,-78.751668,OFFICE_BLDG
50690,ELEC,LAZ - Fifth Third Center,Charlotte,NC,28202,E,35.228923,-80.841769,PAY_GARAGE
50691,ELEC,Levine Properties,Charlotte,NC,28202,E,35.228706,-80.834507,PAY_LOT
50692,ELEC,Secure Parking - BAC Parking Deck,Charlotte,NC,28202,E,35.226655,-80.840749,PAY_GARAGE
50693,ELEC,Secure Parking - Hearst Tower Deck,Charlotte,NC,28202,E,35.227616,-80.84119,PAY_GARAGE
50696,ELEC,McCurry Deck Chevrolet,Forest City,NC,28043,E,35.312853,-81.878889,CAR_DEALER
50697,ELEC,McCurry Deck Chevrolet,Forest City,NC,28043,E,35.312853,-81.878889,CAR_DEALER
50698,ELEC,Gastonia Conference Center,Gastonia,NC,28052,E,35.262936,-81.182459,CONVENTION_CENTER
51670,ELEC,Town of Cary - Cary Arts Center,Cary,NC,27511,E,35.782702,-78.781262,OTHER_ENTERTAINMENT
52057,ELEC,West Regional Library,Cary,NC,27519,E,35.815061,-78.864062,LIBRARY
52058,ELEC,East Regional Library,Knightdale,NC,27545,E,35.802473,-78.487298,LIBRARY
52376,ELEC,Woodlawn Funeral Home,Mt. Holly,NC,28120,E,35.3041747,-81.0210277,STANDALONE_STATION
53884,ELEC,CrossRoads Ford,Cary,NC,27511,T,35.753616,-78.739497,CAR_DEALER
53885,ELEC,Mooresville Ford,Mooresville,NC,28115,E,35.589615,-80.834215,CAR_DEALER
53887,ELEC,Steak 'n Shake,Weaverville,NC,28787,E,35.7027,-82.5758,RESTAURANT
58187,ELEC,UNC B-SCHOOL DECK,Chapel Hill,NC,27514,E,35.900785,-79.046279,
60264,ELEC,Ambiente Modern Furniture,Raleigh,NC,27607,E,35.793985,-78.750329,SHOPPING_CENTER
60749,ELEC,FLOW BMW STATION 01,Winston-Salem,NC,27127,E,36.060175,-80.258174,
60789,ELEC,BMW  ASHEVILLE STATION 01,Fletcher,NC,28732,E,35.438431,-82.53562,
61410,ELEC,Fred Anderson Nissan,Raleigh,NC,27617,E,35.896757,-78.760671,CAR_DEALER
61411,ELEC,Fred Anderson Nissan,Raleigh,NC,27617,E,35.896757,-78.760671,CAR_DEALER
61520,ELEC,CROWN BMW STATION 01,Greensboro,NC,27407,E,36.060492,-79.877721,
61524,ELEC,Imperial Center,Durham,NC,27703,E,35.877097,-78.842616,PARKING_GARAGE
61530,ELEC,Alphainstall.com Building,Pittsboro,NC,27312,E,35.729727,-79.176032,OFFICE_BLDG
61619,ELEC,VALLEY BMW STATION 01,Fayetteville,NC,28303,T,35.080009,-78.94689,
61737,ELEC,GASTON COUNTY VISITOR CENTER,Belmont,NC,28012,E,35.2566,-81.042796,
61738,ELEC,GASTON COUNTY LOWELL LIBRARY,Lowell,NC,28098,E,35.267294,-81.098034,
62280,ELEC,Echoview Fiber Mill,Weaverville,NC,28787,E,35.759451,-82.54994,OTHER
62314,ELEC,Fields Auto Group,Asheville,NC,28806,E,35.562735,-82.63133,CAR_DEALER
62316,ELEC,North Carolina Museum of Life and Science,Durham,NC,27704,T,36.030987,-78.898207,MUSEUM
62828,ELEC,Ben Mynatt Chevrolet Cadillac,Concord,NC,28027,E,35.395326,-80.610927,CAR_DEALER
63074,ELEC,SAS Institute Inc - G,Cary,NC,27513,E,35.823401,-78.76124,OFFICE_BLDG
63075,ELEC,SAS Institute Inc - S,Cary,NC,27607,E,35.822242,-78.757042,OFFICE_BLDG
63076,ELEC,SAS Institute Inc - R,Cary,NC,27513,E,35.824815,-78.757352,OFFICE_BLDG
63239,ELEC,BSMG NORTH DECK 1,Durham,NC,27701,E,35.994829,-78.905062,
63298,ELEC,BSMG EAST DECK 3,Durham,NC,27701,E,35.992578,-78.902123,
63299,ELEC,BSMG SOUTH DECK 1,Durham,NC,27701,E,35.991785,-78.906252,
63303,ELEC,UNC RAMSHEAD 1,Chapel Hill,NC,27514,E,35.906068,-79.045679,
63335,ELEC,UNC CARDINAL DECK 1,Chapel Hill,NC,27514,E,35.90333,-79.052449,
63368,ELEC,Appalachian State University - Rivers Street Parking Deck,Boone,NC,28608,E,36.211913,-81.680812,PARKING_GARAGE
63766,ELEC,RTP EMC - RTP,Durham,NC,27703,E,35.919842,-78.87791,
64399,ELEC,Gaston Courthouse Community Center,Dallas,NC,28034,E,35.316002,-81.176575,MUNI_GOV
64510,ELEC,Asheville Ford,Asheville,NC,28806,E,35.550684,-82.601894,CAR_DEALER
64755,ELEC,North Carolina State University - Keystone Science Center,Raleigh,NC,27606,E,35.774673,-78.677792,COLLEGE_CAMPUS
65505,ELEC,CLT AIRPORT LEVEL4_ST1,Charlotte,NC,28208,T,35.221677,-80.944937,
65509,ELEC,Ingles Market,Lincolnton,NC,28092,E,35.478123,-81.221638,GROCERY
65512,ELEC,Sunshine Chevrolet,Arden,NC,28704,E,35.480846,-82.564542,CAR_DEALER
65520,ELEC,Mills Rentals Office,Chapel Hill,NC,27514,E,35.897388,-79.052478,STREET_PARKING
65924,ELEC,"Piedmont Triad Regional Council, NC",Kernsersville,NC,27284,E,36.079558,-80.064636,
66409,ELEC,Ingles Market,Asheville,NC,28804,E,35.62983,-82.552775,GROCERY
66697,ELEC,BSMG SOUTH DECK 2,Durham,NC,27701,E,35.992658,-78.905999,
67127,ELEC,Concord Regional Airport - Hourly Parking Lot,Concord,NC,28027,E,35.385521,-80.712971,AIRPORT
67172,ELEC,MEBANE TANGER EV 1,Mebane,NC,27302,E,36.074911,-79.26771,
68003,ELEC,SAS Institute Inc - U,Cary,NC,27513,E,35.820801,-78.753109,OFFICE_BLDG
68004,ELEC,SAS Institute Inc - Q,Cary,NC,27513,E,35.82111,-78.749317,OFFICE_BLDG
68005,ELEC,SAS Institute Inc - H,Cary,NC,27513,E,35.827144,-78.76066,OFFICE_BLDG
68006,ELEC,SAS Institute Inc - LW,Cary,NC,27513,E,35.828483,-78.767465,OFFICE_BLDG
68269,ELEC,Beach Ready Auto,Point Harbor,NC,27964,E,36.093125,-75.808695,AUTO_REPAIR
68383,ELEC,Publix #1442,Charlotte,NC,28277,E,35.0435,-80.84951,GROCERY
68384,ELEC,Publix #1453,Charlotte,NC,28203,E,35.208237,-80.86254,GROCERY
68827,ELEC,ASBURYVILLAGE ASBURY STAT 1,Raleigh,NC,27607,E,35.795027,-78.738174,
69213,ELEC,EC STATION CROATAN HWY 1,Nags Head,NC,27959,T,35.913597,-75.60263,
70594,ELEC,VRF ROBINSON FARM,Charlotte,NC,28277,E,35.053318,-80.81217,
71809,ELEC,FPWC HONEYCUTT 1,Fayetteville,NC,28303,E,35.069194,-78.92208,
73277,ELEC,UNC CRAIGE DECK,Chapel Hill,NC,27514,E,35.902571,-79.047712,
73468,ELEC,Piedmont Triad International Airport,Greensboro,NC,27409,E,36.105313,-79.938316,AIRPORT
73502,ELEC,"CHARLOTTE, NC HUNTERSVILLE 01",Huntersville,NC,28078,E,35.41369,-80.857192,
73525,ELEC,"CHARLOTTE, NC SOUTHEND 02",Charlotte,NC,28203,E,35.215386,-80.853754,
73527,ELEC,"CHARLOTTE, NC SOUTHEND 01",Charlotte,NC,28203,E,35.215337,-80.853918,
74559,ELEC,HALIFAXCNTYCVB STATION 01,Roanoke Rapids,NC,27870,E,36.426982,-77.631357,
74910,ELEC,HAVANA PHIL'S CIGAR COMPANY,Greensboro,NC,27408,E,36.090729,-79.811402,
75480,ELEC,Rider Transit System,Concord,NC,28027,E,35.442484,-80.609688,PARKING_LOT
75481,ELEC,City of Concord - Parking Deck,Concord,NC,28026,E,35.409825,-80.582282,MUNI_GOV
75527,ELEC,BEMC OIB,Ocean Isle Beach,NC,28469,E,33.888258,-78.432809,
76532,ELEC,HALIFAXCNTYCVB HGI STATION 01,Roanoke Rapids,NC,27870,E,36.398861,-77.640846,
76533,ELEC,HALIFAXCNTYCVB HAMPTON INN 01,Roanoke Rapids,NC,27870,E,36.432713,-77.630786,
76736,ELEC,City of Durham - General Services,Durham,NC,27704,E,36.007,-78.87,MUNI_GOV
76881,ELEC,Caromont Regional Medical Center,Gastonia,NC,28054,E,35.27153,-81.141587,HOSPITAL
76914,ELEC,Southern Alliance for Clean Energy,Asheville,NC,28801,E,35.601009,-82.548012,OFFICE_BLDG
76930,ELEC,BEMC HOLDEN BEACH,Holden Beach,NC,28462,E,33.914347,-78.267314,
77396,ELEC,Appalachian State University - Legends Parking Lot,Boone,NC,28608,T,36.214982,-81.675345,COLLEGE_CAMPUS
78303,ELEC,"CHARLOTTE, NC S TRYON ST 1",Charlotte,NC,28202,T,35.224011,-80.847647,
78305,ELEC,"CHARLOTTE, NC CATS I-485 4",Charlotte,NC,28273,E,35.106994,-80.883287,
78355,ELEC,"CHARLOTTE, NC CMPD LEC 1",Charlotte,NC,28202,E,35.223157,-80.836819,
78873,ELEC,BERNCHARGE BERNHARDT EVSE,Lenoir,NC,28645,E,35.896887,-81.558321,
79380,ELEC,AVL TECH PARK EV CHARGER 01,Asheville,NC,28801,E,35.639777,-82.575849,
80023,ELEC,DEVON FOUR25 DEVON FOUR25,Raleigh,NC,27603,E,35.786358,-78.649851,
80109,ELEC,HARRIS TEETER HT 003,Charlotte,NC,28278,E,35.160957,-80.973479,
80187,ELEC,DUKEPTS SDG 2,Durham,NC,27708,E,35.99613,-78.947421,
80188,ELEC,DUKEPTS SDG VISITOR JB,Durham,NC,27708,E,35.996268,-78.947219,
80325,ELEC,LANTOWER WAVERL SW EV2,Charlotte,NC,28277,E,35.050642,-80.766069,
80421,ELEC,New Belgium Brewery,Asheville,NC,28806,E,35.586702,-82.570643,BREWERY_DISTILLERY_WINERY
81000,ELEC,Ingles Market,Asheville,NC,28806,E,35.530128,-82.606464,GROCERY
81001,ELEC,Ingles Market,Waynesville,NC,28786,E,35.504331,-82.987681,GROCERY
